flood,ndvi,nwdi,distancefromriver,geology,slope,soils,tri,aspect,dem
1,0.342193,-0.28006,1,3,1,3,,1,7
1,,,1,3,3,1,5,26,7
1,,,1,3,1,6,,1,7
1,,,1,5,2,6,32,25,7
1,0.249163,-0.23727,2,3,1,6,,1,7
1,0.273835,-0.22749,1,5,2,6,28,18,10
1,0.151229,-0.13806,1,3,1,3,,1,3
1,0.157338,-0.14682,1,3,1,1,,1,3
1,0.097469,-0.08594,1,3,1,1,,1,3
1,0.132011,-0.14712,1,3,3,2,4,30,3
1,0.215823,-0.218,1,3,2,2,22,26,9
1,0.24444,-0.1967,1,3,1,3,,1,4
1,0.26199,-0.20017,1,3,1,3,,1,4
1,0.299617,-0.25816,1,3,3,3,25,5,4
1,0.308331,-0.26555,1,3,1,7,32,21,4
1,0.307331,-0.25472,1,3,6,7,20,26,5
1,0.063694,-0.05077,1,3,1,3,32,21,3
1,0.105794,-0.07111,1,3,1,3,,1,3
1,0.121784,-0.09847,1,3,3,3,7,24,3
1,0.155571,-0.13184,7,6,1,2,32,29,3
1,0.105812,-0.09921,3,6,1,2,1,21,3
1,0.016192,-0.01678,1,3,2,5,19,11,3
